in s,C1 in V,C2 in V
-7.48440E-04,3.325700E+00,3.306961E+00
-7.48424E-04,3.330125E+00,3.311386E+00
-7.48408E-04,1.237230E+00,3.308945E+00
-7.48392E-04,1.697247E-01,3.314285E+00
-7.48376E-04,4.033020E-02,3.315201E+00
-7.48360E-04,2.369812E-02,3.308945E+00
-7.48344E-04,1.683167E-02,3.317642E+00
-7.48328E-04,1.881531E-02,3.315201E+00
-7.48312E-04,2.125671E-02,3.309402E+00
-7.48296E-04,1.576355E-02,3.314743E+00
-7.48280E-04,2.064636E-02,3.318100E+00
-7.48264E-04,1.820496E-02,3.318710E+00
-7.48248E-04,2.369812E-02,3.314285E+00
-7.48232E-04,2.171448E-02,3.312759E+00
-7.48216E-04,2.171448E-02,3.311844E+00
-7.48200E-04,1.683167E-02,3.314285E+00
-7.48184E-04,2.064714E+00,2.581558E+00
-7.48168E-04,3.224534E+00,5.194855E-01
-7.48152E-04,3.315934E+00,7.423401E-02
-7.48136E-04,3.330125E+00,1.411438E-02
-7.48120E-04,3.326158E+00,-1.907349E-03
-7.48104E-04,3.324174E+00,9.918213E-04
-7.48088E-04,3.329667E+00,2.365112E-03
-7.48072E-04,3.337449E+00,-9.918213E-04
-7.48056E-04,3.333940E+00,6.790161E-03
-7.48040E-04,3.339433E+00,4.348755E-03
-7.48024E-04,3.338823E+00,5.340576E-04
-7.48008E-04,3.333482E+00,2.365112E-03
-7.47992E-04,3.330583E+00,9.918213E-04
-7.47976E-04,3.337449E+00,1.449585E-03
-7.47960E-04,3.331498E+00,-2.517700E-03
-7.47944E-04,3.335923E+00,3.890991E-03
-7.47928E-04,3.336992E+00,7.858276E-03
-7.47912E-04,3.328141E+00,9.918213E-04
-7.47896E-04,3.327684E+00,5.340576E-04
-7.47880E-04,3.328141E+00,5.874634E-03
-7.47864E-04,3.330583E+00,4.348755E-03
-7.47848E-04,3.330125E+00,1.167297E-02
-7.47832E-04,3.326616E+00,3.890991E-03
-7.47816E-04,3.340806E+00,2.365112E-03
-7.47800E-04,3.328141E+00,5.416870E-03
-7.47784E-04,3.328141E+00,-9.918213E-04
-7.47768E-04,3.332109E+00,7.858276E-03
-7.47752E-04,3.328599E+00,8.773804E-03
-7.47736E-04,3.330125E+00,8.316040E-03
-7.47720E-04,3.327226E+00,2.365112E-03
-7.47704E-04,3.323716E+00,-2.517700E-03
-7.47688E-04,3.329667E+00,4.348755E-03
-7.47672E-04,3.327226E+00,3.890991E-03
-7.47656E-04,3.329057E+00,5.340576E-04
-7.47640E-04,3.330583E+00,7.858276E-03
-7.47624E-04,3.326158E+00,6.790161E-03
-7.47608E-04,3.325242E+00,2.975464E-03
-7.47592E-04,3.332567E+00,1.907349E-03
-7.47576E-04,3.329057E+00,-5.340576E-04
-7.47560E-04,3.331498E+00,7.858276E-03
-7.47544E-04,3.328141E+00,1.365662E-02
-7.47528E-04,3.330125E+00,6.790161E-03
-7.47512E-04,3.331041E+00,7.400513E-03
-7.47496E-04,3.328599E+00,-1.907349E-03
-7.47480E-04,3.335466E+00,1.228333E-02
-7.47464E-04,3.332109E+00,4.348755E-03
-7.47448E-04,3.331498E+00,3.890991E-03
-7.47432E-04,3.329057E+00,4.348755E-03
-7.47416E-04,3.330125E+00,-1.907349E-03
-7.47400E-04,3.335466E+00,3.433228E-03
-7.47384E-04,1.220140E+00,-7.629395E-05
-7.47368E-04,1.801007E-01,4.959106E-03
-7.47352E-04,3.788879E-02,1.907349E-03
-7.47336E-04,1.927307E-02,7.400513E-03
-7.47320E-04,1.576355E-02,1.449585E-03
-7.47304E-04,1.439026E-02,5.416870E-03
-7.47288E-04,1.973083E-02,4.959106E-03
-7.47272E-04,1.286438E-02,5.874634E-03
-7.47256E-04,1.683167E-02,2.365112E-03
-7.47240E-04,1.973083E-02,2.975464E-03
-7.47224E-04,2.171448E-02,8.773804E-03
-7.47208E-04,2.369812E-02,-4.959106E-03
-7.47192E-04,2.217224E-02,3.890991E-03
-7.47176E-04,2.125671E-02,6.332397E-03
-7.47160E-04,2.121324E+00,7.400513E-03
-7.47144E-04,3.167772E+00,6.332397E-03
-7.47128E-04,3.313493E+00,5.416870E-03
-7.47112E-04,3.328599E+00,6.790161E-03
-7.47096E-04,3.326158E+00,9.841919E-03
-7.47080E-04,3.337449E+00,7.400513E-03
-7.47064E-04,3.333940E+00,1.121521E-02
-7.47048E-04,3.323259E+00,2.365112E-03
-7.47032E-04,3.331498E+00,2.975464E-03
-7.47016E-04,3.332567E+00,-3.433228E-03
-7.47000E-04,3.330583E+00,7.400513E-03
-7.46984E-04,3.331041E+00,6.790161E-03
-7.46968E-04,3.333024E+00,9.918213E-04
-7.46952E-04,3.329057E+00,-5.340576E-04
-7.46936E-04,3.331041E+00,-1.907349E-03
-7.46920E-04,3.332109E+00,3.433228E-03
-7.46904E-04,3.325242E+00,7.400513E-03
-7.46888E-04,3.330125E+00,7.400513E-03
-7.46872E-04,3.330583E+00,3.433228E-03
-7.46856E-04,3.325700E+00,2.975464E-03
-7.46840E-04,3.322801E+00,3.433228E-03
-7.46824E-04,3.331041E+00,1.907349E-03
-7.46808E-04,3.328599E+00,1.449585E-03
-7.46792E-04,3.329667E+00,9.918213E-04
-7.46776E-04,3.326616E+00,4.959106E-03
-7.46760E-04,3.323716E+00,-2.517700E-03
-7.46744E-04,3.328141E+00,8.773804E-03
-7.46728E-04,3.326616E+00,7.858276E-03
-7.46712E-04,3.325242E+00,9.918213E-04
-7.46696E-04,3.328599E+00,2.975464E-03
-7.46680E-04,3.328599E+00,6.790161E-03
-7.46664E-04,3.332109E+00,9.231567E-03
-7.46648E-04,3.328599E+00,5.416870E-03
-7.46632E-04,3.326158E+00,4.348755E-03
-7.46616E-04,3.331498E+00,8.316040E-03
-7.46600E-04,3.333024E+00,9.231567E-03
-7.46584E-04,3.335923E+00,-1.907349E-03
-7.46568E-04,3.324785E+00,2.975464E-03
-7.46552E-04,3.330583E+00,-7.629395E-05
-7.46536E-04,3.329667E+00,3.433228E-03
-7.46520E-04,3.333024E+00,8.316040E-03
-7.46504E-04,3.335466E+00,9.918213E-04
-7.46488E-04,3.331041E+00,7.858276E-03
-7.46472E-04,3.332567E+00,3.890991E-03
-7.46456E-04,3.333940E+00,2.365112E-03
-7.46440E-04,3.335923E+00,6.790161E-03
-7.46424E-04,3.328141E+00,2.365112E-03
-7.46408E-04,3.329057E+00,1.121521E-02
-7.46392E-04,3.325242E+00,5.874634E-03
-7.46376E-04,3.330583E+00,1.907349E-03
-7.46360E-04,1.228380E+00,-2.975464E-03
-7.46344E-04,1.819318E-01,2.365112E-03
-7.46328E-04,3.239563E-02,-1.907349E-03
-7.46312E-04,2.263000E-02,8.316040E-03
-7.46296E-04,1.774719E-02,6.790161E-03
-7.46280E-04,1.774719E-02,3.433228E-03
-7.46264E-04,2.507141E-02,3.433228E-03
-7.46248E-04,1.728943E-02,8.316040E-03
-7.46232E-04,1.240662E-02,2.975464E-03
-7.46216E-04,1.973083E-02,3.890991E-03
-7.46200E-04,2.018860E-02,6.332397E-03
-7.46184E-04,1.484802E-02,5.416870E-03
-7.46168E-04,2.171448E-02,5.340576E-04
-7.46152E-04,2.018860E-02,4.959106E-03
-7.46136E-04,2.145280E+00,7.923126E-01
-7.46120E-04,3.123826E+00,2.809372E+00
-7.46104E-04,3.304643E+00,3.246384E+00
-7.46088E-04,3.325700E+00,3.300552E+00
-7.46072E-04,3.332567E+00,3.316727E+00
-7.46056E-04,3.330583E+00,3.313828E+00
-7.46040E-04,3.336992E+00,3.316727E+00
-7.46024E-04,3.333024E+00,3.304520E+00
-7.46008E-04,3.331498E+00,3.322067E+00
-7.45992E-04,3.329057E+00,3.318710E+00
-7.45976E-04,3.336381E+00,3.310318E+00
-7.45960E-04,3.332109E+00,3.317184E+00
-7.45944E-04,3.327226E+00,3.322525E+00
-7.45928E-04,3.325700E+00,3.309860E+00
-7.45912E-04,3.342332E+00,3.316269E+00
-7.45896E-04,3.331498E+00,3.320084E+00
-7.45880E-04,3.336381E+00,3.310776E+00
-7.45864E-04,3.331498E+00,3.309402E+00
-7.45848E-04,3.334550E+00,3.315659E+00
-7.45832E-04,3.328141E+00,3.317184E+00
-7.45816E-04,3.328599E+00,3.316269E+00
-7.45800E-04,3.329057E+00,3.316269E+00
-7.45784E-04,3.329667E+00,3.311386E+00
-7.45768E-04,3.328141E+00,3.314743E+00
-7.45752E-04,3.326616E+00,3.311844E+00
-7.45736E-04,3.333940E+00,3.312759E+00
-7.45720E-04,3.333482E+00,3.314285E+00
-7.45704E-04,3.332567E+00,3.311386E+00
-7.45688E-04,3.331041E+00,3.312759E+00
-7.45672E-04,3.330583E+00,3.310776E+00
-7.45656E-04,3.325700E+00,3.311386E+00
-7.45640E-04,3.334550E+00,3.308334E+00
-7.45624E-04,3.327226E+00,3.316269E+00
-7.45608E-04,3.327226E+00,3.315201E+00
-7.45592E-04,3.326616E+00,3.314743E+00
-7.45576E-04,3.333940E+00,3.310318E+00
-7.45560E-04,3.328599E+00,3.315201E+00
-7.45544E-04,3.332109E+00,3.311844E+00
-7.45528E-04,3.329667E+00,3.304520E+00
-7.45512E-04,3.333024E+00,3.310776E+00
-7.45496E-04,3.335466E+00,3.320694E+00
-7.45480E-04,3.333940E+00,3.318710E+00
-7.45464E-04,3.334550E+00,3.313217E+00
-7.45448E-04,3.326158E+00,3.312302E+00
-7.45432E-04,3.329667E+00,3.317184E+00
-7.45416E-04,3.337449E+00,3.306503E+00
-7.45400E-04,3.321275E+00,3.312302E+00
-7.45384E-04,3.329667E+00,3.309860E+00
-7.45368E-04,3.335466E+00,3.311386E+00
-7.45352E-04,3.324785E+00,3.313217E+00
-7.45336E-04,1.235246E+00,3.311386E+00
-7.45320E-04,1.752179E-01,3.312302E+00
-7.45304E-04,3.392151E-02,3.304977E+00
-7.45288E-04,1.393250E-02,3.315201E+00
-7.45272E-04,1.088074E-02,3.308945E+00
-7.45256E-04,1.683167E-02,3.308945E+00
-7.45240E-04,2.064636E-02,3.314285E+00
-7.45224E-04,1.576355E-02,3.307877E+00
-7.45208E-04,1.973083E-02,3.321609E+00
-7.45192E-04,2.263000E-02,3.312302E+00
-7.45176E-04,2.217224E-02,3.315201E+00
-7.45160E-04,1.683167E-02,3.314285E+00
-7.45144E-04,1.927307E-02,3.315201E+00
-7.45128E-04,1.194885E-02,3.315201E+00
-7.45112E-04,2.048539E+00,2.583542E+00
-7.45096E-04,3.226060E+00,5.229950E-01
-7.45080E-04,3.305101E+00,7.286072E-02
-7.45064E-04,3.323716E+00,5.874634E-03
-7.45048E-04,3.330583E+00,-7.629395E-05
-7.45032E-04,3.329667E+00,-9.918213E-04
-7.45016E-04,3.332109E+00,-5.874634E-03
-7.45000E-04,3.335923E+00,-7.629395E-05
-7.44984E-04,3.330125E+00,1.907349E-03
-7.44968E-04,3.332109E+00,-4.348755E-03
-7.44952E-04,3.331041E+00,-1.449585E-03
-7.44936E-04,3.327226E+00,9.918213E-04
-7.44920E-04,3.336381E+00,-9.918213E-04
-7.44904E-04,3.332109E+00,1.449585E-03
-7.44888E-04,3.331041E+00,2.365112E-03
-7.44872E-04,3.330583E+00,1.449585E-03
-7.44856E-04,3.323259E+00,5.340576E-04
-7.44840E-04,3.331041E+00,-9.918213E-04
-7.44824E-04,3.328599E+00,-9.918213E-04
-7.44808E-04,3.324174E+00,-2.975464E-03
-7.44792E-04,3.331498E+00,-5.340576E-04
-7.44776E-04,3.332567E+00,4.959106E-03
-7.44760E-04,3.330583E+00,-1.449585E-03
-7.44744E-04,3.332567E+00,-7.629395E-05
-7.44728E-04,3.330583E+00,1.075745E-02
-7.44712E-04,3.333482E+00,7.400513E-03
-7.44696E-04,3.331041E+00,-2.517700E-03
-7.44680E-04,3.331041E+00,1.449585E-03
-7.44664E-04,3.341874E+00,4.959106E-03
-7.44648E-04,3.333024E+00,1.907349E-03
-7.44632E-04,3.331498E+00,9.918213E-04
-7.44616E-04,3.332567E+00,5.416870E-03
-7.44600E-04,3.323259E+00,5.340576E-04
-7.44584E-04,3.332567E+00,6.332397E-03
-7.44568E-04,3.333024E+00,9.918213E-04
-7.44552E-04,3.333482E+00,9.841919E-03
-7.44536E-04,3.330583E+00,3.433228E-03
-7.44520E-04,3.329057E+00,3.890991E-03
-7.44504E-04,3.329057E+00,2.365112E-03
-7.44488E-04,3.323716E+00,5.416870E-03
-7.44472E-04,3.328141E+00,7.858276E-03
-7.44456E-04,3.326158E+00,5.416870E-03
-7.44440E-04,3.327226E+00,-1.449585E-03
-7.44424E-04,3.320359E+00,1.121521E-02
-7.44408E-04,3.330583E+00,-2.975464E-03
-7.44392E-04,3.324785E+00,4.959106E-03
-7.44376E-04,3.328141E+00,3.433228E-03
