clk,re,en,rst,sig_label,current,e,spike,voltage
1,0,1,0,0,0001100100000,00000010100,0,1111011111101
0,0,1,0,0,0001100100000,00000010100,0,1111011001011
1,0,1,0,0,0001100100000,00000010100,0,1111011001011
0,0,1,0,0,0001100100000,00000010100,1,0001010011001
1,0,1,0,0,0001100100000,00000010100,1,0001010011001
0,0,1,0,0,0001100100000,00000010101,1,0001000110111
1,0,1,0,0,0001100100000,00000010101,1,0001000110111
0,0,1,0,0,0001100100000,00000010110,1,0001010110100
1,0,1,0,0,0001100100000,00000010110,1,0001010110100
0,0,1,0,0,0001100100000,00000010111,1,0001000011010
1,0,1,0,0,0001100100000,00000010111,1,0001000011010
0,0,1,0,0,0001100100000,00000011000,0,1111011101100
1,0,1,0,0,0001100100000,00000011000,0,1111011101100
0,0,1,0,0,0001100100000,00000011000,0,1111011000101
1,0,1,0,0,0001100100000,00000011000,0,1111011000101
0,0,1,0,0,0001100100000,00000011000,0,1111011100110
1,0,1,0,0,0001100100000,00000011000,0,1111011100110
0,0,1,0,0,0001100100000,00000011000,0,1111011000011
1,0,1,0,0,0001100100000,00000011000,0,1111011000011
0,0,1,0,0,0001100100000,00000011000,1,0001001101011
1,0,1,0,0,0001100100000,00000011000,1,0001001101011
0,0,1,0,0,0001100100000,00000011001,1,0000111111000
1,0,1,0,0,0001100100000,00000011001,1,0000111111000
0,0,1,0,0,0001100100000,00000011010,1,0001001010011
1,0,1,0,0,0001100100000,00000011010,1,0001001010011
0,0,1,0,0,0001100100000,00000011011,1,0000111110100
1,0,1,0,0,0001100100000,00000011011,1,0000111110100
0,0,1,0,0,0001100100000,00000011100,0,1111011011010
1,0,1,0,0,0001100100000,00000011100,0,1111011011010
0,0,1,0,0,0001100100000,00000011100,0,1111010111111
1,0,1,0,0,0001100100000,00000011100,0,1111010111111
0,0,1,0,0,0001100100000,00000011100,0,1111011011101
1,0,1,0,0,0001100100000,00000011100,0,1111011011101
0,0,1,0,0,0001100100000,00000011100,0,1111010110011
1,0,1,0,0,0001100100000,00000011100,0,1111010110011
0,0,1,0,0,0001100100000,00000011100,1,0001000100010
1,0,1,0,0,0001100100000,00000011100,1,0001000100010
0,0,1,0,0,0001100100000,00000011101,1,0000111011011
1,0,1,0,0,0001100100000,00000011101,1,0000111011011
0,0,1,0,0,0001100100000,00000011110,1,0001000100011
1,0,1,0,0,0001100100000,00000011110,1,0001000100011
0,0,1,0,0,0001100100000,00000011111,1,0000110111001
1,0,1,0,0,0001100100000,00000011111,1,0000110111001
0,0,1,0,0,0001100100000,00000100000,0,1111011010011
1,0,1,0,0,0001100100000,00000100000,0,1111011010011
0,0,1,0,0,0001100100000,00000100000,0,1111010110011
1,0,1,0,0,0001100100000,00000100000,0,1111010110011
0,0,1,0,0,0001100100000,00000100000,0,1111011011010
1,0,1,0,0,0001100100000,00000100000,0,1111011011010
0,0,1,0,0,0001100100000,00000100000,0,1111010101101
1,0,1,0,0,0001100100000,00000100000,0,1111010101101
0,0,1,0,0,0001100100000,00000100000,1,0000111111110
1,0,1,0,0,0001100100000,00000100000,1,0000111111110
0,0,1,0,0,0001100100000,00000100001,1,0000110110000
1,0,1,0,0,0001100100000,00000100001,1,0000110110000
0,0,1,0,0,0001100100000,00000100010,1,0001000010010
1,0,1,0,0,0001100100000,00000100010,1,0001000010010
0,0,1,0,0,0001100100000,00000100011,1,0000110011011
1,0,1,0,0,0001100100000,00000100011,1,0000110011011
0,0,1,0,0,0001100100000,00000100100,0,1111011010010
1,0,1,0,0,0001100100000,00000100100,0,1111011010010
0,0,1,0,0,0001100100000,00000100100,0,1111010101110
1,0,1,0,0,0001100100000,00000100100,0,1111010101110
0,0,1,0,0,0001100100000,00000100100,0,1111011010010
1,0,1,0,0,0001100100000,00000100100,0,1111011010010
0,0,1,0,0,0001100100000,00000100100,0,1111010101100
1,0,1,0,0,0001100100000,00000100100,0,1111010101100
0,0,1,0,0,0001100100000,00000100100,1,0000111110110
1,0,1,0,0,0001100100000,00000100100,1,0000111110110
0,0,1,0,0,0001100100000,00000100101,1,0000110011000
1,0,1,0,0,0001100100000,00000100101,1,0000110011000
0,0,1,0,0,0001100100000,00000100110,1,0000111110100
1,0,1,0,0,0001100100000,00000100110,1,0000111110100
0,0,1,0,0,0001100100000,00000100111,1,0000110010100
1,0,1,0,0,0001100100000,00000100111,1,0000110010100
0,0,1,0,0,0001100100000,00000101000,0,1111011001011
1,0,1,0,0,0001100100000,00000101000,0,1111011001011
0,0,1,0,0,0001100100000,00000101000,0,1111010101101
1,0,1,0,0,0001100100000,00000101000,0,1111010101101
0,0,1,0,0,0001100100000,00000101000,0,1111011001110
1,0,1,0,0,0001100100000,00000101000,0,1111011001110
0,0,1,0,0,0001100100000,00000101000,0,1111010100101
1,0,1,0,0,0001100100000,00000101000,0,1111010100101
0,0,1,0,0,0001100100000,00000101000,1,0000111011011
1,0,1,0,0,0001100100000,00000101000,1,0000111011011
0,0,1,0,0,0001100100000,00000101001,1,0000110010000
1,0,1,0,0,0001100100000,00000101001,1,0000110010000
0,0,1,0,0,0001100100000,00000101010,1,0000111011111
1,0,1,0,0,0001100100000,00000101010,1,0000111011111
0,0,1,0,0,0001100100000,00000101011,1,0000101111100
1,0,1,0,0,0001100100000,00000101011,1,0000101111100
0,0,1,0,0,0001100100000,00000101100,0,1111011001000
1,0,1,0,0,0001100100000,00000101100,0,1111011001000
0,0,1,0,0,0001100100000,00000101100,0,1111010101000
1,0,1,0,0,0001100100000,00000101100,0,1111010101000
0,0,1,0,0,0001100100000,00000101100,0,1111011001101
1,0,1,0,0,0001100100000,00000101100,0,1111011001101
0,0,1,0,0,0001100100000,00000101100,0,1111010100011
1,0,1,0,0,0001100100000,00000101100,0,1111010100011
0,0,1,0,0,0001100100000,00000101100,1,0000111001101
1,0,1,0,0,0001100100000,00000101100,1,0000111001101
0,0,1,0,0,0001100100000,00000101101,1,0000101111111
1,0,1,0,0,0001100100000,00000101101,1,0000101111111
0,0,1,0,0,0001100100000,00000101110,1,0000111011010
1,0,1,0,0,0001100100000,00000101110,1,0000111011010
0,0,1,0,0,0001100100000,00000101111,1,0000101110010
1,0,1,0,0,0001100100000,00000101111,1,0000101110010
0,0,1,0,0,0001100100000,00000110000,0,1111011000111
1,0,1,0,0,0001100100000,00000110000,0,1111011000111
0,0,1,0,0,0001100100000,00000110000,0,1111010100110
1,0,1,0,0,0001100100000,00000110000,0,1111010100110
0,0,1,0,0,0001100100000,00000110000,0,1111011001011
1,0,1,0,0,0001100100000,00000110000,0,1111011001011
0,0,1,0,0,0001100100000,00000110000,0,1111010100010
1,0,1,0,0,0001100100000,00000110000,0,1111010100010
0,0,1,0,0,0001100100000,00000110000,1,0000111000111
1,0,1,0,0,0001100100000,00000110000,1,0000111000111
0,0,1,0,0,0001100100000,00000110001,1,0000101110110
1,0,1,0,0,0001100100000,00000110001,1,0000101110110
0,0,1,0,0,0001100100000,00000110010,1,0000111010001
1,0,1,0,0,0001100100000,00000110010,1,0000111010001
0,0,1,0,0,0001100100000,00000110011,1,0000101101101
1,0,1,0,0,0001100100000,00000110011,1,0000101101101
0,0,1,0,0,0001100100000,00000110100,0,1111011000101
1,0,1,0,0,0001100100000,00000110100,0,1111011000101
0,0,1,0,0,0001100100000,00000110100,0,1111010100101
1,0,1,0,0,0001100100000,00000110100,0,1111010100101
0,0,1,0,0,0001100100000,00000110100,0,1111011001001
1,0,1,0,0,0001100100000,00000110100,0,1111011001001
0,0,1,0,0,0001100100000,00000110100,0,1111010100000
1,0,1,0,0,0001100100000,00000110100,0,1111010100000
0,0,1,0,0,0001100100000,00000110100,1,0000110111111
1,0,1,0,0,0001100100000,00000110100,1,0000110111111
0,0,1,0,0,0001100100000,00000110101,1,0000101110001
1,0,1,0,0,0001100100000,00000110101,1,0000101110001
0,0,1,0,0,0001100100000,00000110110,1,0000111001001
1,0,1,0,0,0001100100000,00000110110,1,0000111001001
0,0,1,0,0,0001100100000,00000110111,1,0000101100110
1,0,1,0,0,0001100100000,00000110111,1,0000101100110
0,0,1,0,0,0001100100000,00000111000,0,1111011000011
