clk,re,en,rst,sig_label,current,e,spike,voltage
1,0,1,0,0,0001100100000,00000001111,1,0011100001100
0,0,1,0,0,0001100100000,00000010000,0,1111110110110
1,0,1,0,0,0001100100000,00000010000,0,1111110110110
0,0,1,0,0,0001100100000,00000010000,0,1111110110111
1,0,1,0,0,0001100100000,00000010000,0,1111110110111
0,0,1,0,0,0001100100000,00000010000,0,1111110110110
1,0,1,0,0,0001100100000,00000010000,0,1111110110110
0,0,1,0,0,0001100100000,00000010000,0,1111110101111
1,0,1,0,0,0001100100000,00000010000,0,1111110101111
0,0,1,0,0,0001100100000,00000010000,1,0011011100111
1,0,1,0,0,0001100100000,00000010000,1,0011011100111
0,0,1,0,0,0001100100000,00000010001,1,0011011101011
1,0,1,0,0,0001100100000,00000010001,1,0011011101011
0,0,1,0,0,0001100100000,00000010010,1,0011011100000
1,0,1,0,0,0001100100000,00000010010,1,0011011100000
0,0,1,0,0,0001100100000,00000010011,1,0011011000100
1,0,1,0,0,0001100100000,00000010011,1,0011011000100
0,0,1,0,0,0001100100000,00000010100,0,1111110110010
1,0,1,0,0,0001100100000,00000010100,0,1111110110010
0,0,1,0,0,0001100100000,00000010100,0,1111110101101
1,0,1,0,0,0001100100000,00000010100,0,1111110101101
0,0,1,0,0,0001100100000,00000010100,0,1111110110101
1,0,1,0,0,0001100100000,00000010100,0,1111110110101
0,0,1,0,0,0001100100000,00000010100,0,1111110101100
1,0,1,0,0,0001100100000,00000010100,0,1111110101100
0,0,1,0,0,0001100100000,00000010100,1,0011011001001
1,0,1,0,0,0001100100000,00000010100,1,0011011001001
0,0,1,0,0,0001100100000,00000010101,1,0011010110100
1,0,1,0,0,0001100100000,00000010101,1,0011010110100
0,0,1,0,0,0001100100000,00000010110,1,0011011011000
1,0,1,0,0,0001100100000,00000010110,1,0011011011000
0,0,1,0,0,0001100100000,00000010111,1,0011010101101
1,0,1,0,0,0001100100000,00000010111,1,0011010101101
0,0,1,0,0,0001100100000,00000011000,0,1111110110001
1,0,1,0,0,0001100100000,00000011000,0,1111110110001
0,0,1,0,0,0001100100000,00000011000,0,1111110101011
1,0,1,0,0,0001100100000,00000011000,0,1111110101011
0,0,1,0,0,0001100100000,00000011000,0,1111110101111
1,0,1,0,0,0001100100000,00000011000,0,1111110101111
0,0,1,0,0,0001100100000,00000011000,0,1111110101011
1,0,1,0,0,0001100100000,00000011000,0,1111110101011
0,0,1,0,0,0001100100000,00000011000,1,0011011000010
1,0,1,0,0,0001100100000,00000011000,1,0011011000010
0,0,1,0,0,0001100100000,00000011001,1,0011010100101
1,0,1,0,0,0001100100000,00000011001,1,0011010100101
0,0,1,0,0,0001100100000,00000011010,1,0011010110111
1,0,1,0,0,0001100100000,00000011010,1,0011010110111
0,0,1,0,0,0001100100000,00000011011,1,0011010100110
1,0,1,0,0,0001100100000,00000011011,1,0011010100110
0,0,1,0,0,0001100100000,00000011100,0,1111110101101
1,0,1,0,0,0001100100000,00000011100,0,1111110101101
0,0,1,0,0,0001100100000,00000011100,0,1111110101010
1,0,1,0,0,0001100100000,00000011100,0,1111110101010
0,0,1,0,0,0001100100000,00000011100,0,1111110101101
1,0,1,0,0,0001100100000,00000011100,0,1111110101101
0,0,1,0,0,0001100100000,00000011100,0,1111110100111
1,0,1,0,0,0001100100000,00000011100,0,1111110100111
0,0,1,0,0,0001100100000,00000011100,1,0011010101011
1,0,1,0,0,0001100100000,00000011100,1,0011010101011
0,0,1,0,0,0001100100000,00000011101,1,0011010011101
1,0,1,0,0,0001100100000,00000011101,1,0011010011101
0,0,1,0,0,0001100100000,00000011110,1,0011010101000
1,0,1,0,0,0001100100000,00000011110,1,0011010101000
0,0,1,0,0,0001100100000,00000011111,1,0011010001111
1,0,1,0,0,0001100100000,00000011111,1,0011010001111
0,0,1,0,0,0001100100000,00000100000,0,1111110101011
1,0,1,0,0,0001100100000,00000100000,0,1111110101011
0,0,1,0,0,0001100100000,00000100000,0,1111110100110
1,0,1,0,0,0001100100000,00000100000,0,1111110100110
0,0,1,0,0,0001100100000,00000100000,0,1111110101101
1,0,1,0,0,0001100100000,00000100000,0,1111110101101
0,0,1,0,0,0001100100000,00000100000,0,1111110100110
1,0,1,0,0,0001100100000,00000100000,0,1111110100110
0,0,1,0,0,0001100100000,00000100000,1,0011010011101
1,0,1,0,0,0001100100000,00000100000,1,0011010011101
0,0,1,0,0,0001100100000,00000100001,1,0011010001000
1,0,1,0,0,0001100100000,00000100001,1,0011010001000
0,0,1,0,0,0001100100000,00000100010,1,0011010100111
1,0,1,0,0,0001100100000,00000100010,1,0011010100111
0,0,1,0,0,0001100100000,00000100011,1,0011010000110
1,0,1,0,0,0001100100000,00000100011,1,0011010000110
0,0,1,0,0,0001100100000,00000100100,0,1111110101011
1,0,1,0,0,0001100100000,00000100100,0,1111110101011
0,0,1,0,0,0001100100000,00000100100,0,1111110100101
1,0,1,0,0,0001100100000,00000100100,0,1111110100101
0,0,1,0,0,0001100100000,00000100100,0,1111110101001
1,0,1,0,0,0001100100000,00000100100,0,1111110101001
0,0,1,0,0,0001100100000,00000100100,0,1111110100110
1,0,1,0,0,0001100100000,00000100100,0,1111110100110
0,0,1,0,0,0001100100000,00000100100,1,0011010011100
1,0,1,0,0,0001100100000,00000100100,1,0011010011100
0,0,1,0,0,0001100100000,00000100101,1,0011010000000
1,0,1,0,0,0001100100000,00000100101,1,0011010000000
0,0,1,0,0,0001100100000,00000100110,1,0011010010010
1,0,1,0,0,0001100100000,00000100110,1,0011010010010
0,0,1,0,0,0001100100000,00000100111,1,0011010000110
1,0,1,0,0,0001100100000,00000100111,1,0011010000110
0,0,1,0,0,0001100100000,00000101000,0,1111110101000
1,0,1,0,0,0001100100000,00000101000,0,1111110101000
0,0,1,0,0,0001100100000,00000101000,0,1111110100101
1,0,1,0,0,0001100100000,00000101000,0,1111110100101
0,0,1,0,0,0001100100000,00000101000,0,1111110101001
1,0,1,0,0,0001100100000,00000101000,0,1111110101001
0,0,1,0,0,0001100100000,00000101000,0,1111110100011
1,0,1,0,0,0001100100000,00000101000,0,1111110100011
0,0,1,0,0,0001100100000,00000101000,1,0011010001100
1,0,1,0,0,0001100100000,00000101000,1,0011010001100
0,0,1,0,0,0001100100000,00000101001,1,0011010000000
1,0,1,0,0,0001100100000,00000101001,1,0011010000000
0,0,1,0,0,0001100100000,00000101010,1,0011010001111
1,0,1,0,0,0001100100000,00000101010,1,0011010001111
0,0,1,0,0,0001100100000,00000101011,1,0011001110101
1,0,1,0,0,0001100100000,00000101011,1,0011001110101
0,0,1,0,0,0001100100000,00000101100,0,1111110101000
1,0,1,0,0,0001100100000,00000101100,0,1111110101000
0,0,1,0,0,0001100100000,00000101100,0,1111110100011
1,0,1,0,0,0001100100000,00000101100,0,1111110100011
0,0,1,0,0,0001100100000,00000101100,0,1111110101000
1,0,1,0,0,0001100100000,00000101100,0,1111110101000
0,0,1,0,0,0001100100000,00000101100,0,1111110100011
1,0,1,0,0,0001100100000,00000101100,0,1111110100011
0,0,1,0,0,0001100100000,00000101100,1,0011010001010
1,0,1,0,0,0001100100000,00000101100,1,0011010001010
0,0,1,0,0,0001100100000,00000101101,1,0011001110100
1,0,1,0,0,0001100100000,00000101101,1,0011001110100
0,0,1,0,0,0001100100000,00000101110,1,0011010001010
1,0,1,0,0,0001100100000,00000101110,1,0011010001010
0,0,1,0,0,0001100100000,00000101111,1,0011001110100
1,0,1,0,0,0001100100000,00000101111,1,0011001110100
0,0,1,0,0,0001100100000,00000110000,0,1111110100111
1,0,1,0,0,0001100100000,00000110000,0,1111110100111
0,0,1,0,0,0001100100000,00000110000,0,1111110100011
1,0,1,0,0,0001100100000,00000110000,0,1111110100011
0,0,1,0,0,0001100100000,00000110000,0,1111110100111
1,0,1,0,0,0001100100000,00000110000,0,1111110100111
0,0,1,0,0,0001100100000,00000110000,0,1111110100010
1,0,1,0,0,0001100100000,00000110000,0,1111110100010
0,0,1,0,0,0001100100000,00000110000,1,0011010000100
1,0,1,0,0,0001100100000,00000110000,1,0011010000100
0,0,1,0,0,0001100100000,00000110001,1,0011001110011
1,0,1,0,0,0001100100000,00000110001,1,0011001110011
0,0,1,0,0,0001100100000,00000110010,1,0011010000011
1,0,1,0,0,0001100100000,00000110010,1,0011010000011
0,0,1,0,0,0001100100000,00000110011,1,0011001101111
1,0,1,0,0,0001100100000,00000110011,1,0011001101111
0,0,1,0,0,0001100100000,00000110100,0,1111110100110
1,0,1,0,0,0001100100000,00000110100,0,1111110100110
0,0,1,0,0,0001100100000,00000110100,0,1111110100010
1,0,1,0,0,0001100100000,00000110100,0,1111110100010
0,0,1,0,0,0001100100000,00000110100,0,1111110100111
1,0,1,0,0,0001100100000,00000110100,0,1111110100111
0,0,1,0,0,0001100100000,00000110100,0,1111110100001
1,0,1,0,0,0001100100000,00000110100,0,1111110100001
0,0,1,0,0,0001100100000,00000110100,1,0011001111110
1,0,1,0,0,0001100100000,00000110100,1,0011001111110
0,0,1,0,0,0001100100000,00000110101,1,0011001101110
1,0,1,0,0,0001100100000,00000110101,1,0011001101110
0,0,1,0,0,0001100100000,00000110110,1,0011010000010
1,0,1,0,0,0001100100000,00000110110,1,0011010000010
0,0,1,0,0,0001100100000,00000110111,1,0011001101001
1,0,1,0,0,0001100100000,00000110111,1,0011001101001
0,0,1,0,0,0001100100000,00000111000,0,1111110100110
1,0,1,0,0,0001100100000,00000111000,0,1111110100110
0,0,1,0,0,0001100100000,00000111000,0,1111110100001
1,0,1,0,0,0001100100000,00000111000,0,1111110100001
0,0,1,0,0,0001100100000,00000111000,0,1111110100110
1,0,1,0,0,0001100100000,00000111000,0,1111110100110
0,0,1,0,0,0001100100000,00000111000,0,1111110100001
1,0,1,0,0,0001100100000,00000111000,0,1111110100001
0,0,1,0,0,0001100100000,00000111000,1,0011001111101
1,0,1,0,0,0001100100000,00000111000,1,0011001111101
0,0,1,0,0,0001100100000,00000111001,1,0011001101000
1,0,1,0,0,0001100100000,00000111001,1,0011001101000
0,0,1,0,0,0001100100000,00000111010,1,0011001111101
1,0,1,0,0,0001100100000,00000111010,1,0011001111101
0,0,1,0,0,0001100100000,00000111011,1,0011001101000
1,0,1,0,0,0001100100000,00000111011,1,0011001101000
0,0,1,0,0,0001100100000,00000111100,0,1111110100101
1,0,1,0,0,0001100100000,00000111100,0,1111110100101
0,0,1,0,0,0001100100000,00000111100,0,1111110100001
1,0,1,0,0,0001100100000,00000111100,0,1111110100001
0,0,1,0,0,0001100100000,00000111100,0,1111110100101
1,0,1,0,0,0001100100000,00000111100,0,1111110100101
0,0,1,0,0,0001100100000,00000111100,0,1111110100000
1,0,1,0,0,0001100100000,00000111100,0,1111110100000
0,0,1,0,0,0001100100000,00000111100,1,0011001111000
1,0,1,0,0,0001100100000,00000111100,1,0011001111000
0,0,1,0,0,0001100100000,00000111101,1,0011001100111
1,0,1,0,0,0001100100000,00000111101,1,0011001100111
0,0,1,0,0,0001100100000,00000111110,1,0011001110111
1,0,1,0,0,0001100100000,00000111110,1,0011001110111
0,0,1,0,0,0001100100000,00000111111,1,0011001100011
1,0,1,0,0,0001100100000,00000111111,1,0011001100011
0,0,1,0,0,0001100100000,00001000000,0,1111110100100
1,0,1,0,0,0001100100000,00001000000,0,1111110100100
0,0,1,0,0,0001100100000,00001000000,0,1111110100000
1,0,1,0,0,0001100100000,00001000000,0,1111110100000
0,0,1,0,0,0001100100000,00001000000,0,1111110100101
1,0,1,0,0,0001100100000,00001000000,0,1111110100101
0,0,1,0,0,0001100100000,00001000000,0,1111110011111
1,0,1,0,0,0001100100000,00001000000,0,1111110011111
0,0,1,0,0,0001100100000,00001000000,1,0011001110010
1,0,1,0,0,0001100100000,00001000000,1,0011001110010
0,0,1,0,0,0001100100000,00001000001,1,0011001100010
1,0,1,0,0,0001100100000,00001000001,1,0011001100010
0,0,1,0,0,0001100100000,00001000010,1,0011001110111
1,0,1,0,0,0001100100000,00001000010,1,0011001110111
0,0,1,0,0,0001100100000,00001000011,1,0011001011100
1,0,1,0,0,0001100100000,00001000011,1,0011001011100
0,0,1,0,0,0001100100000,00001000100,0,1111110100100
1,0,1,0,0,0001100100000,00001000100,0,1111110100100
0,0,1,0,0,0001100100000,00001000100,0,1111110100000
1,0,1,0,0,0001100100000,00001000100,0,1111110100000
0,0,1,0,0,0001100100000,00001000100,0,1111110100100
1,0,1,0,0,0001100100000,00001000100,0,1111110100100
0,0,1,0,0,0001100100000,00001000100,0,1111110011111
1,0,1,0,0,0001100100000,00001000100,0,1111110011111
0,0,1,0,0,0001100100000,00001000100,1,0011001110010
1,0,1,0,0,0001100100000,00001000100,1,0011001110010
0,0,1,0,0,0001100100000,00001000101,1,0011001100001
1,0,1,0,0,0001100100000,00001000101,1,0011001100001
0,0,1,0,0,0001100100000,00001000110,1,0011001110001
1,0,1,0,0,0001100100000,00001000110,1,0011001110001
0,0,1,0,0,0001100100000,00001000111,1,0011001011100
1,0,1,0,0,0001100100000,00001000111,1,0011001011100
0,0,1,0,0,0001100100000,00001001000,0,1111110100011
1,0,1,0,0,0001100100000,00001001000,0,1111110100011
0,0,1,0,0,0001100100000,00001001000,0,1111110011111
1,0,1,0,0,0001100100000,00001001000,0,1111110011111
0,0,1,0,0,0001100100000,00001001000,0,1111110100100
1,0,1,0,0,0001100100000,00001001000,0,1111110100100
0,0,1,0,0,0001100100000,00001001000,0,1111110011110
1,0,1,0,0,0001100100000,00001001000,0,1111110011110
0,0,1,0,0,0001100100000,00001001000,1,0011001101011
1,0,1,0,0,0001100100000,00001001000,1,0011001101011
0,0,1,0,0,0001100100000,00001001001,1,0011001011011
1,0,1,0,0,0001100100000,00001001001,1,0011001011011
0,0,1,0,0,0001100100000,00001001010,1,0011001110001
1,0,1,0,0,0001100100000,00001001010,1,0011001110001
0,0,1,0,0,0001100100000,00001001011,1,0011001010110
1,0,1,0,0,0001100100000,00001001011,1,0011001010110
0,0,1,0,0,0001100100000,00001001100,0,1111110100011
1,0,1,0,0,0001100100000,00001001100,0,1111110100011
0,0,1,0,0,0001100100000,00001001100,0,1111110011111
1,0,1,0,0,0001100100000,00001001100,0,1111110011111
0,0,1,0,0,0001100100000,00001001100,0,1111110100011
1,0,1,0,0,0001100100000,00001001100,0,1111110100011
0,0,1,0,0,0001100100000,00001001100,0,1111110011110
1,0,1,0,0,0001100100000,00001001100,0,1111110011110
0,0,1,0,0,0001100100000,00001001100,1,0011001101011
1,0,1,0,0,0001100100000,00001001100,1,0011001101011
0,0,1,0,0,0001100100000,00001001101,1,0011001011010
1,0,1,0,0,0001100100000,00001001101,1,0011001011010
0,0,1,0,0,0001100100000,00001001110,1,0011001101010
1,0,1,0,0,0001100100000,00001001110,1,0011001101010
0,0,1,0,0,0001100100000,00001001111,1,0011001010110
1,0,1,0,0,0001100100000,00001001111,1,0011001010110
0,0,1,0,0,0001100100000,00001010000,0,1111110100010
1,0,1,0,0,0001100100000,00001010000,0,1111110100010
0,0,1,0,0,0001100100000,00001010000,0,1111110011110
1,0,1,0,0,0001100100000,00001010000,0,1111110011110
0,0,1,0,0,0001100100000,00001010000,0,1111110100011
1,0,1,0,0,0001100100000,00001010000,0,1111110100011
0,0,1,0,0,0001100100000,00001010000,0,1111110011101
1,0,1,0,0,0001100100000,00001010000,0,1111110011101
0,0,1,0,0,0001100100000,00001010000,1,0011001100101
1,0,1,0,0,0001100100000,00001010000,1,0011001100101
0,0,1,0,0,0001100100000,00001010001,1,0011001010101
1,0,1,0,0,0001100100000,00001010001,1,0011001010101
0,0,1,0,0,0001100100000,00001010010,1,0011001101010
1,0,1,0,0,0001100100000,00001010010,1,0011001101010
0,0,1,0,0,0001100100000,00001010011,1,0011001010000
1,0,1,0,0,0001100100000,00001010011,1,0011001010000
0,0,1,0,0,0001100100000,00001010100,0,1111110100010
1,0,1,0,0,0001100100000,00001010100,0,1111110100010
0,0,1,0,0,0001100100000,00001010100,0,1111110011110
1,0,1,0,0,0001100100000,00001010100,0,1111110011110
0,0,1,0,0,0001100100000,00001010100,0,1111110100010
1,0,1,0,0,0001100100000,00001010100,0,1111110100010
0,0,1,0,0,0001100100000,00001010100,0,1111110011101
1,0,1,0,0,0001100100000,00001010100,0,1111110011101
0,0,1,0,0,0001100100000,00001010100,1,0011001100101
1,0,1,0,0,0001100100000,00001010100,1,0011001100101
0,0,1,0,0,0001100100000,00001010101,1,0011001010100
1,0,1,0,0,0001100100000,00001010101,1,0011001010100
0,0,1,0,0,0001100100000,00001010110,1,0011001100100
1,0,1,0,0,0001100100000,00001010110,1,0011001100100
0,0,1,0,0,0001100100000,00001010111,1,0011001010000
1,0,1,0,0,0001100100000,00001010111,1,0011001010000
0,0,1,0,0,0001100100000,00001011000,0,1111110100001
1,0,1,0,0,0001100100000,00001011000,0,1111110100001
0,0,1,0,0,0001100100000,00001011000,0,1111110011101
1,0,1,0,0,0001100100000,00001011000,0,1111110011101
0,0,1,0,0,0001100100000,00001011000,0,1111110100010
1,0,1,0,0,0001100100000,00001011000,0,1111110100010
0,0,1,0,0,0001100100000,00001011000,0,1111110011100
1,0,1,0,0,0001100100000,00001011000,0,1111110011100
0,0,1,0,0,0001100100000,00001011000,1,0011001011111
1,0,1,0,0,0001100100000,00001011000,1,0011001011111
0,0,1,0,0,0001100100000,00001011001,1,0011001001111
1,0,1,0,0,0001100100000,00001011001,1,0011001001111
0,0,1,0,0,0001100100000,00001011010,1,0011001100100
1,0,1,0,0,0001100100000,00001011010,1,0011001100100
0,0,1,0,0,0001100100000,00001011011,1,0011001001010
1,0,1,0,0,0001100100000,00001011011,1,0011001001010
0,0,1,0,0,0001100100000,00001011100,0,1111110100001
1,0,1,0,0,0001100100000,00001011100,0,1111110100001
0,0,1,0,0,0001100100000,00001011100,0,1111110011101
1,0,1,0,0,0001100100000,00001011100,0,1111110011101
0,0,1,0,0,0001100100000,00001011100,0,1111110100001
1,0,1,0,0,0001100100000,00001011100,0,1111110100001
0,0,1,0,0,0001100100000,00001011100,0,1111110011100
1,0,1,0,0,0001100100000,00001011100,0,1111110011100
0,0,1,0,0,0001100100000,00001011100,1,0011001011111
1,0,1,0,0,0001100100000,00001011100,1,0011001011111
0,0,1,0,0,0001100100000,00001011101,1,0011001001110
1,0,1,0,0,0001100100000,00001011101,1,0011001001110
0,0,1,0,0,0001100100000,00001011110,1,0011001011110
1,0,1,0,0,0001100100000,00001011110,1,0011001011110
0,0,1,0,0,0001100100000,00001011111,1,0011001001010
1,0,1,0,0,0001100100000,00001011111,1,0011001001010
0,0,1,0,0,0001100100000,00001100000,0,1111110100000
1,0,1,0,0,0001100100000,00001100000,0,1111110100000
0,0,1,0,0,0001100100000,00001100000,0,1111110011100
1,0,1,0,0,0001100100000,00001100000,0,1111110011100
0,0,1,0,0,0001100100000,00001100000,0,1111110100001
1,0,1,0,0,0001100100000,00001100000,0,1111110100001
0,0,1,0,0,0001100100000,00001100000,0,1111110011011
1,0,1,0,0,0001100100000,00001100000,0,1111110011011
0,0,1,0,0,0001100100000,00001100000,1,0011001011001
1,0,1,0,0,0001100100000,00001100000,1,0011001011001
0,0,1,0,0,0001100100000,00001100001,1,0011001001001
1,0,1,0,0,0001100100000,00001100001,1,0011001001001
0,0,1,0,0,0001100100000,00001100010,1,0011001011110
1,0,1,0,0,0001100100000,00001100010,1,0011001011110
0,0,1,0,0,0001100100000,00001100011,1,0011001000011
1,0,1,0,0,0001100100000,00001100011,1,0011001000011
0,0,1,0,0,0001100100000,00001100100,0,1111110100000
1,0,1,0,0,0001100100000,00001100100,0,1111110100000
0,0,1,0,0,0001100100000,00001100100,0,1111110011100
1,0,1,0,0,0001100100000,00001100100,0,1111110011100
0,0,1,0,0,0001100100000,00001100100,0,1111110100000
1,0,1,0,0,0001100100000,00001100100,0,1111110100000
0,0,1,0,0,0001100100000,00001100100,0,1111110011011
1,0,1,0,0,0001100100000,00001100100,0,1111110011011
0,0,1,0,0,0001100100000,00001100100,1,0011001011001
1,0,1,0,0,0001100100000,00001100100,1,0011001011001
0,0,1,0,0,0001100100000,00001100101,1,0011001001000
1,0,1,0,0,0001100100000,00001100101,1,0011001001000
0,0,1,0,0,0001100100000,00001100110,1,0011001011000
1,0,1,0,0,0001100100000,00001100110,1,0011001011000
0,0,1,0,0,0001100100000,00001100111,1,0011001000011
1,0,1,0,0,0001100100000,00001100111,1,0011001000011
0,0,1,0,0,0001100100000,00001101000,0,1111110011111
1,0,1,0,0,0001100100000,00001101000,0,1111110011111
0,0,1,0,0,0001100100000,00001101000,0,1111110011011
1,0,1,0,0,0001100100000,00001101000,0,1111110011011
0,0,1,0,0,0001100100000,00001101000,0,1111110100000
1,0,1,0,0,0001100100000,00001101000,0,1111110100000
0,0,1,0,0,0001100100000,00001101000,0,1111110011010
1,0,1,0,0,0001100100000,00001101000,0,1111110011010
0,0,1,0,0,0001100100000,00001101000,1,0011001010010
1,0,1,0,0,0001100100000,00001101000,1,0011001010010
0,0,1,0,0,0001100100000,00001101001,1,0011001000010
1,0,1,0,0,0001100100000,00001101001,1,0011001000010
0,0,1,0,0,0001100100000,00001101010,1,0011001011000
1,0,1,0,0,0001100100000,00001101010,1,0011001011000
0,0,1,0,0,0001100100000,00001101011,1,0011000111101
1,0,1,0,0,0001100100000,00001101011,1,0011000111101
0,0,1,0,0,0001100100000,00001101100,0,1111110011111
1,0,1,0,0,0001100100000,00001101100,0,1111110011111
